signal_id,signal_type,signal_status,leading_pedestrian_interval,council_district,location
411,TRAFFIC,TURNED_ON,True,2,"{'type': 'Point', 'coordinates': [-97.778877, 30.193014]}"
732,TRAFFIC,TURNED_ON,False,1,"{'type': 'Point', 'coordinates': [-97.668854, 30.399052]}"
464,TRAFFIC,TURNED_ON,True,7,"{'type': 'Point', 'coordinates': [-97.720398, 30.395203]}"
281,TRAFFIC,TURNED_ON,True,9,"{'type': 'Point', 'coordinates': [-97.74559, 30.270872]}"
287,TRAFFIC,TURNED_ON,True,9,"{'type': 'Point', 'coordinates': [-97.738609, 30.268927]}"
527,TRAFFIC,TURNED_ON,True,1,"{'type': 'Point', 'coordinates': [-97.665733, 30.372438]}"
296,TRAFFIC,TURNED_ON,True,9,"{'type': 'Point', 'coordinates': [-97.738953, 30.268007]}"
297,TRAFFIC,TURNED_ON,True,9,"{'type': 'Point', 'coordinates': [-97.736816, 30.267403]}"
304,TRAFFIC,TURNED_ON,True,9,"{'type': 'Point', 'coordinates': [-97.741455, 30.267683]}"
520,TRAFFIC,TURNED_ON,False,7,"{'type': 'Point', 'coordinates': [-97.695908, 30.41581]}"
868,TRAFFIC,TURNED_ON,True,6,"{'type': 'Point', 'coordinates': [-97.77639, 30.453196]}"
351,TRAFFIC,TURNED_ON,True,"1, 3","{'type': 'Point', 'coordinates': [-97.726135, 30.263954]}"
5,TRAFFIC,TURNED_ON,False,"4, 7","{'type': 'Point', 'coordinates': [-97.726334, 30.325943]}"
17,TRAFFIC,TURNED_ON,True,4,"{'type': 'Point', 'coordinates': [-97.71608, 30.327032]}"
43,TRAFFIC,TURNED_ON,True,9,"{'type': 'Point', 'coordinates': [-97.74115, 30.291985]}"
130,TRAFFIC,TURNED_ON,False,"5, 9","{'type': 'Point', 'coordinates': [-97.764984, 30.264769]}"
958,TRAFFIC,TURNED_ON,False,9,"{'type': 'Point', 'coordinates': [-97.760832, 30.272729]}"
4056,PHB,TURNED_ON,False,3,"{'type': 'Point', 'coordinates': [-97.733703, 30.230921]}"
853,TRAFFIC,TURNED_ON,False,7,"{'type': 'Point', 'coordinates': [-97.734985, 30.389957]}"
1031,TRAFFIC,TURNED_ON,False,"5, 2","{'type': 'Point', 'coordinates': [-97.793098, 30.167644]}"
1111,TRAFFIC,TURNED_ON,False,3,"{'type': 'Point', 'coordinates': [-97.772842, 30.208877]}"
209,TRAFFIC,TURNED_ON,True,9,"{'type': 'Point', 'coordinates': [-97.759117, 30.280226]}"
447,TRAFFIC,TURNED_ON,False,10,"{'type': 'Point', 'coordinates': [-97.749619, 30.351912]}"
242,TRAFFIC,TURNED_ON,True,9,"{'type': 'Point', 'coordinates': [-97.748428, 30.276058]}"
245,TRAFFIC,TURNED_ON,True,9,"{'type': 'Point', 'coordinates': [-97.744125, 30.274853]}"
983,TRAFFIC,TURNED_ON,False,9,"{'type': 'Point', 'coordinates': [-97.723457, 30.289299]}"
253,TRAFFIC,TURNED_ON,True,9,"{'type': 'Point', 'coordinates': [-97.741104, 30.272749]}"
4044,PHB,TURNED_ON,False,4,"{'type': 'Point', 'coordinates': [-97.697936, 30.323977]}"
269,TRAFFIC,TURNED_ON,True,9,"{'type': 'Point', 'coordinates': [-97.742592, 30.275734]}"
291,TRAFFIC,TURNED_ON,True,9,"{'type': 'Point', 'coordinates': [-97.744843, 30.269655]}"
976,TRAFFIC,TURNED_ON,False,8,"{'type': 'Point', 'coordinates': [-97.876595, 30.23517]}"
4097,PHB,TURNED_ON,False,2,"{'type': 'Point', 'coordinates': [-97.753589, 30.193399]}"
4116,PHB,TURNED_ON,False,"1, 9","{'type': 'Point', 'coordinates': [-97.729972, 30.287514]}"
4119,PHB,TURNED_ON,False,9,"{'type': 'Point', 'coordinates': [-97.731514, 30.281963]}"
229,TRAFFIC,TURNED_ON,True,9,"{'type': 'Point', 'coordinates': [-97.755539, 30.266434]}"
145,TRAFFIC,TURNED_ON,True,3,"{'type': 'Point', 'coordinates': [-97.759621, 30.242111]}"
188,TRAFFIC,TURNED_ON,True,5,"{'type': 'Point', 'coordinates': [-97.787621, 30.231009]}"
816,TRAFFIC,TURNED_ON,False,1,"{'type': 'Point', 'coordinates': [-97.672531, 30.375425]}"
4048,PHB,TURNED_ON,False,4,"{'type': 'Point', 'coordinates': [-97.697222, 30.365456]}"
899,TRAFFIC,TURNED_ON,False,6,"{'type': 'Point', 'coordinates': [-97.797371, 30.468016]}"
641,TRAFFIC,TURNED_ON,False,"4, 7","{'type': 'Point', 'coordinates': [-97.71312, 30.347548]}"
662,TRAFFIC,TURNED_ON,False,1,"{'type': 'Point', 'coordinates': [-97.659821, 30.284725]}"
663,TRAFFIC,TURNED_ON,False,6,"{'type': 'Point', 'coordinates': [-97.795433, 30.480169]}"
671,TRAFFIC,TURNED_ON,False,6,"{'type': 'Point', 'coordinates': [-97.803299, 30.479425]}"
606,TRAFFIC,TURNED_ON,False,6,"{'type': 'Point', 'coordinates': [-97.807221, 30.476854]}"
751,TRAFFIC,TURNED_ON,True,10,"{'type': 'Point', 'coordinates': [-97.772057, 30.290598]}"
457,TRAFFIC,TURNED_ON,True,4,"{'type': 'Point', 'coordinates': [-97.692459, 30.371176]}"
257,TRAFFIC,TURNED_ON,True,9,"{'type': 'Point', 'coordinates': [-97.735451, 30.27117]}"
481,TRAFFIC,TURNED_ON,False,4,"{'type': 'Point', 'coordinates': [-97.705498, 30.369251]}"
496,TRAFFIC,TURNED_ON,False,2,"{'type': 'Point', 'coordinates': [-97.65884, 30.21267]}"
694,TRAFFIC,TURNED_ON,False,4,"{'type': 'Point', 'coordinates': [-97.714859, 30.352856]}"
203,TRAFFIC,TURNED_ON,False,9,"{'type': 'Point', 'coordinates': [-97.756035, 30.270855]}"
415,TRAFFIC,TURNED_ON,False,3,"{'type': 'Point', 'coordinates': [-97.763596, 30.22341]}"
718,TRAFFIC,TURNED_ON,False,4,"{'type': 'Point', 'coordinates': [-97.717796, 30.363134]}"
260,TRAFFIC,TURNED_ON,False,1,"{'type': 'Point', 'coordinates': [-97.658661, 30.377291]}"
210,TRAFFIC,TURNED_ON,True,9,"{'type': 'Point', 'coordinates': [-97.743, 30.2779]}"
723,TRAFFIC,TURNED_ON,False,6,"{'type': 'Point', 'coordinates': [-97.770386, 30.435135]}"
221,TRAFFIC,TURNED_ON,False,9,"{'type': 'Point', 'coordinates': [-97.741928, 30.277605]}"
319,TRAFFIC,TURNED_ON,True,9,"{'type': 'Point', 'coordinates': [-97.737488, 30.265535]}"
251,TRAFFIC,TURNED_ON,True,9,"{'type': 'Point', 'coordinates': [-97.743462, 30.273409]}"
618,TRAFFIC,TURNED_ON,False,6,"{'type': 'Point', 'coordinates': [-97.789894, 30.470217]}"
323,TRAFFIC,TURNED_ON,False,5,"{'type': 'Point', 'coordinates': [-97.800728, 30.23295]}"
261,TRAFFIC,TURNED_ON,True,9,"{'type': 'Point', 'coordinates': [-97.744888, 30.27277]}"
279,TRAFFIC,TURNED_ON,True,9,"{'type': 'Point', 'coordinates': [-97.749527, 30.269945]}"
282,TRAFFIC,TURNED_ON,True,9,"{'type': 'Point', 'coordinates': [-97.744492, 30.270575]}"
577,TRAFFIC,TURNED_ON,False,7,"{'type': 'Point', 'coordinates': [-97.749146, 30.327637]}"
302,TRAFFIC,TURNED_ON,True,9,"{'type': 'Point', 'coordinates': [-97.744125, 30.268417]}"
312,TRAFFIC,TURNED_ON,True,9,"{'type': 'Point', 'coordinates': [-97.745544, 30.267796]}"
313,TRAFFIC,TURNED_ON,True,9,"{'type': 'Point', 'coordinates': [-97.744469, 30.267477]}"
524,TRAFFIC,TURNED_ON,False,7,"{'type': 'Point', 'coordinates': [-97.702217, 30.419012]}"
324,TRAFFIC,TURNED_ON,False,5,"{'type': 'Point', 'coordinates': [-97.800545, 30.231974]}"
547,TRAFFIC,TURNED_ON,False,5,"{'type': 'Point', 'coordinates': [-97.788055, 30.23036]}"
4152,PHB,DESIGN,False,0,"{'type': 'Point', 'coordinates': [-97.687825, 30.330794]}"
355,TRAFFIC,TURNED_ON,False,3,"{'type': 'Point', 'coordinates': [-97.709496, 30.260126]}"
587,TRAFFIC,TURNED_ON,True,5,"{'type': 'Point', 'coordinates': [-97.791512, 30.231995]}"
339,TRAFFIC,TURNED_ON,False,1,"{'type': 'Point', 'coordinates': [-97.73098, 30.274611]}"
4153,PHB,DESIGN,False,0,"{'type': 'Point', 'coordinates': [-97.680895, 30.341039]}"
363,TRAFFIC,TURNED_ON,True,3,"{'type': 'Point', 'coordinates': [-97.728668, 30.258518]}"
6,TRAFFIC,TURNED_ON,False,"4, 7","{'type': 'Point', 'coordinates': [-97.723541, 30.330378]}"
647,TRAFFIC,TURNED_ON,False,2,"{'type': 'Point', 'coordinates': [-97.744904, 30.184488]}"
377,TRAFFIC,TURNED_ON,True,2,"{'type': 'Point', 'coordinates': [-97.777596, 30.192722]}"
660,TRAFFIC,TURNED_ON,False,"4, 1, 9","{'type': 'Point', 'coordinates': [-97.687058, 30.298182]}"
383,TRAFFIC,TURNED_ON,False,8,"{'type': 'Point', 'coordinates': [-97.854904, 30.148468]}"
28,TRAFFIC,TURNED_ON,False,9,"{'type': 'Point', 'coordinates': [-97.732193, 30.278975]}"
220,TRAFFIC,TURNED_ON,False,2,"{'type': 'Point', 'coordinates': [-97.750255, 30.18095]}"
384,TRAFFIC,TURNED_ON,False,"3, 9","{'type': 'Point', 'coordinates': [-97.734886, 30.247843]}"
744,TRAFFIC,TURNED_ON,False,6,"{'type': 'Point', 'coordinates': [-97.79361, 30.422527]}"
627,TRAFFIC,TURNED_ON,False,1,"{'type': 'Point', 'coordinates': [-97.663574, 30.315283]}"
592,TRAFFIC,TURNED_ON,False,4,"{'type': 'Point', 'coordinates': [-97.706375, 30.321693]}"
402,TRAFFIC,TURNED_ON,True,3,"{'type': 'Point', 'coordinates': [-97.772881, 30.221043]}"
764,TRAFFIC,TURNED_ON,False,"7, 1","{'type': 'Point', 'coordinates': [-97.654923, 30.399542]}"
10,TRAFFIC,TURNED_ON,False,4,"{'type': 'Point', 'coordinates': [-97.723831, 30.323502]}"
20,TRAFFIC,TURNED_ON,False,9,"{'type': 'Point', 'coordinates': [-97.744835, 30.282545]}"
21,TRAFFIC,TURNED_ON,False,9,"{'type': 'Point', 'coordinates': [-97.743744, 30.282238]}"
646,TRAFFIC,TURNED_ON,False,6,"{'type': 'Point', 'coordinates': [-97.785309, 30.450384]}"
696,TRAFFIC,TURNED_ON,False,4,"{'type': 'Point', 'coordinates': [-97.716476, 30.360487]}"
59,TRAFFIC,TURNED_ON,True,9,"{'type': 'Point', 'coordinates': [-97.729775, 30.298708]}"
538,TRAFFIC,TURNED_ON,False,"7, 1","{'type': 'Point', 'coordinates': [-97.675232, 30.40803]}"
541,TRAFFIC,TURNED_ON,False,7,"{'type': 'Point', 'coordinates': [-97.677851, 30.411049]}"
562,TRAFFIC,TURNED_ON,False,1,"{'type': 'Point', 'coordinates': [-97.635544, 30.378025]}"
385,TRAFFIC,REMOVED_PERMANENTLY,False,9,"{'type': 'Point', 'coordinates': [-97.736473, 30.240635]}"
151,TRAFFIC,TURNED_ON,True,9,"{'type': 'Point', 'coordinates': [-97.741791, 30.263641]}"
916,TRAFFIC,TURNED_ON,False,1,"{'type': 'Point', 'coordinates': [-97.674598, 30.325923]}"
54,TRAFFIC,TURNED_ON,True,9,"{'type': 'Point', 'coordinates': [-97.734612, 30.289316]}"
167,TRAFFIC,TURNED_ON,False,9,"{'type': 'Point', 'coordinates': [-97.714577, 30.301306]}"
931,TRAFFIC,TURNED_ON,False,"4, 1","{'type': 'Point', 'coordinates': [-97.686614, 30.332219]}"
452,TRAFFIC,TURNED_ON,False,2,"{'type': 'Point', 'coordinates': [-97.791122, 30.198507]}"
756,TRAFFIC,TURNED_ON,False,7,"{'type': 'Point', 'coordinates': [-97.725472, 30.377354]}"
971,TRAFFIC,TURNED_ON,False,9,"{'type': 'Point', 'coordinates': [-97.717049, 30.298578]}"
218,TRAFFIC,TURNED_ON,True,9,"{'type': 'Point', 'coordinates': [-97.745148, 30.278534]}"
56,TRAFFIC,TURNED_ON,False,9,"{'type': 'Point', 'coordinates': [-97.734734, 30.290955]}"
170,TRAFFIC,TURNED_ON,True,9,"{'type': 'Point', 'coordinates': [-97.71534, 30.312069]}"
307,TRAFFIC,TURNED_ON,True,9,"{'type': 'Point', 'coordinates': [-97.738243, 30.266783]}"
194,TRAFFIC,TURNED_ON,False,5,"{'type': 'Point', 'coordinates': [-97.806908, 30.202913]}"
1188,TRAFFIC,DESIGN,False,0,"{'type': 'Point', 'coordinates': [-97.64698, 30.428874]}"
196,TRAFFIC,TURNED_ON,False,5,"{'type': 'Point', 'coordinates': [-97.816307, 30.185926]}"
730,TRAFFIC,TURNED_ON,False,5,"{'type': 'Point', 'coordinates': [-97.825523, 30.173765]}"
230,TRAFFIC,TURNED_ON,False,9,"{'type': 'Point', 'coordinates': [-97.757095, 30.266964]}"
